UNIT_ID,COMPONENT_LOCATION,HOURS_OIL,Fe (ppm),Cu (ppm),Si (ppm),TBN (mgKOH/g),V100C,BUDGET,HORAS_VIDA_ACTUAL,REMAINING_LIFE
AH2714,MOTOR DIESEL,92,5,1,1,9.0,13.2,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,256,16,1,1,8.3,13.7,15000,14022.0,978.0
AH2718,MOTOR DIESEL,121,18,2,2,9.3,14.5,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,80,3,1,2,9.0,13.3,15000,7501.0,7499.0
AH2715,MOTOR DIESEL,294,30,10,1,7.6,14.3,15000,10113.0,4887.0
AH2729,MOTOR DIESEL,230,13,1,1,8.8,14.1,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,221,7,1,4,9.5,15.4,15000,1268.0,13732.0
AH2714,MOTOR DIESEL,244,21,2,2,7.6,12.6,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,93,13,1,1,9.4,14.9,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,228,9,1,1,9.0,13.8,15000,774.0,14226.0
AH2718,MOTOR DIESEL,235,58,3,2,8.5,14.5,15000,5974.0,9026.0
AH2729,MOTOR DIESEL,249,14,1,1,8.7,14.1,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,267,30,5,2,7.9,13.5,15000,7138.0,7862.0
AH2721,MOTOR DIESEL,258,10,1,1,8.5,13.6,15000,14022.0,978.0
AH2715,MOTOR DIESEL,262,25,8,2,7.8,14.5,15000,10113.0,4887.0
AH2718,MOTOR DIESEL,106,30,2,2,9.0,14.8,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,254,26,3,2,7.7,13.0,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,247,37,3,2,8.9,14.3,15000,5974.0,9026.0
AH2729,MOTOR DIESEL,72,5,1,1,9.5,14.5,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,241,10,1,2,9.1,14.9,15000,1268.0,13732.0
AH2725,MOTOR DIESEL,121,21,3,1,8.3,13.6,15000,7138.0,7862.0
AH2725,MOTOR DIESEL,82,19,2,2,8.6,13.8,15000,7138.0,7862.0
AH2721,MOTOR DIESEL,93,4,0,1,9.4,14.1,15000,14022.0,978.0
AH2729,MOTOR DIESEL,49,3,0,1,9.5,14.7,15000,9160.0,5840.0
AH2729,MOTOR DIESEL,230,11,1,1,8.7,14.2,15000,9160.0,5840.0
AH2718,MOTOR DIESEL,51,7,1,1,9.5,15.0,15000,5974.0,9026.0
AH2719,MOTOR DIESEL,99,5,1,1,9.3,14.4,15000,774.0,14226.0
AH2715,MOTOR DIESEL,81,5,2,1,9.2,14.7,15000,10113.0,4887.0
AH2714,MOTOR DIESEL,262,23,4,3,7.3,13.6,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,259,66,7,4,8.1,14.5,15000,5974.0,9026.0
AH2721,MOTOR DIESEL,258,12,1,1,8.2,13.3,15000,14022.0,978.0
AH2725,MOTOR DIESEL,236,19,3,2,8.1,13.3,15000,7138.0,7862.0
AH2719,MOTOR DIESEL,110,13,1,3,8.7,13.9,15000,774.0,14226.0
AH2715,MOTOR DIESEL,62,5,1,1,9.4,14.5,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,72,3,0,1,9.6,14.8,15000,1268.0,13732.0
AH2725,MOTOR DIESEL,236,16,3,2,8.4,13.2,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,91,5,1,1,9.4,14.3,15000,9160.0,5840.0
AH2715,MOTOR DIESEL,134,12,4,1,8.8,14.4,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,222,9,1,1,9.0,14.7,15000,1268.0,13732.0
AH2719,MOTOR DIESEL,9,7,1,2,9.2,13.9,15000,774.0,14226.0
AH2729,MOTOR DIESEL,471,13,1,2,8.5,14.1,15000,9160.0,5840.0
AH2715,MOTOR DIESEL,51,6,1,1,9.3,14.8,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,142,4,1,1,9.3,14.7,15000,1268.0,13732.0
AH2715,MOTOR DIESEL,271,21,9,1,7.9,14.2,15000,10113.0,4887.0
AH2718,MOTOR DIESEL,64,17,2,1,9.2,14.6,15000,5974.0,9026.0
AH2726,MOTOR DIESEL,256,9,1,1,8.8,14.6,15000,1268.0,13732.0
AH2714,MOTOR DIESEL,117,5,1,3,9.1,14.5,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,241,9,1,1,8.3,13.4,15000,14022.0,978.0
AH2719,MOTOR DIESEL,331,10,1,4,8.8,13.8,15000,774.0,14226.0
AH2725,MOTOR DIESEL,117,7,2,1,8.9,13.9,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,238,24,5,2,8.7,14.1,15000,5974.0,9026.0
AH2729,MOTOR DIESEL,249,2,0,2,9.7,15.1,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,212,10,2,1,8.9,13.8,15000,7138.0,7862.0
AH2729,MOTOR DIESEL,228,11,2,1,8.7,14.1,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,129,6,1,2,9.4,14.5,15000,7138.0,7862.0
AH2725,MOTOR DIESEL,162,20,3,2,8.5,13.5,15000,7138.0,7862.0
AH2721,MOTOR DIESEL,211,11,1,0,8.4,13.5,15000,14022.0,978.0
AH2715,MOTOR DIESEL,39,7,2,2,9.5,14.7,15000,10113.0,4887.0
AH2715,MOTOR DIESEL,233,20,7,1,8.2,14.3,15000,10113.0,4887.0
AH2726,MOTOR DIESEL,137,11,1,2,9.5,14.7,15000,1268.0,13732.0
AH2714,MOTOR DIESEL,218,19,3,2,7.9,14.0,15000,7501.0,7499.0
AH2725,MOTOR DIESEL,41,12,1,2,9.5,14.5,15000,7138.0,7862.0
AH2718,MOTOR DIESEL,12,8,1,3,9.6,15.3,15000,5974.0,9026.0
AH2729,MOTOR DIESEL,18,3,0,3,9.7,15.1,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,234,30,2,3,9.0,14.8,15000,1268.0,13732.0
AH2721,MOTOR DIESEL,82,6,0,1,9.3,14.1,15000,14022.0,978.0
AH2729,MOTOR DIESEL,238,15,1,0,8.9,14.1,15000,9160.0,5840.0
AH2718,MOTOR DIESEL,10,7,1,2,9.6,15.5,15000,5974.0,9026.0
AH2725,MOTOR DIESEL,273,25,4,2,8.0,13.0,15000,7138.0,7862.0
AH2726,MOTOR DIESEL,184,23,1,2,9.2,14.7,15000,1268.0,13732.0
AH2729,MOTOR DIESEL,178,10,1,2,8.9,14.1,15000,9160.0,5840.0
AH2725,MOTOR DIESEL,220,20,3,2,8.3,13.1,15000,7138.0,7862.0
AH2715,MOTOR DIESEL,246,13,6,1,8.3,14.4,15000,10113.0,4887.0
AH2721,MOTOR DIESEL,263,19,1,1,8.0,13.2,15000,14022.0,978.0
AH2718,MOTOR DIESEL,122,20,4,1,8.9,14.9,15000,5974.0,9026.0
AH2726,MOTOR DIESEL,63,24,1,2,9.7,15.1,15000,1268.0,13732.0
AH2719,MOTOR DIESEL,118,8,1,3,9.3,14.1,15000,774.0,14226.0
AH2729,MOTOR DIESEL,235,12,1,1,8.8,14.2,15000,9160.0,5840.0
AH2718,MOTOR DIESEL,60,14,2,1,9.3,14.8,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,71,8,1,1,9.3,14.6,15000,7501.0,7499.0
AH2729,MOTOR DIESEL,166,6,1,1,9.1,14.3,15000,9160.0,5840.0
AH2718,MOTOR DIESEL,209,64,7,2,8.3,15.1,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,53,5,1,1,9.3,14.5,15000,7501.0,7499.0
AH2726,MOTOR DIESEL,151,11,1,1,8.8,14.9,15000,1268.0,13732.0
AH2725,MOTOR DIESEL,253,23,3,1,8.2,13.1,15000,7138.0,7862.0
AH2714,MOTOR DIESEL,267,38,8,1,7.3,14.1,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,36,10,0,2,9.4,13.6,15000,14022.0,978.0
AH2719,MOTOR DIESEL,297,14,2,2,8.7,13.7,15000,774.0,14226.0
AH2715,MOTOR DIESEL,109,8,3,1,9.1,14.4,15000,10113.0,4887.0
AH2729,MOTOR DIESEL,268,19,1,1,8.5,14.0,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,258,15,1,2,8.5,15.0,15000,1268.0,13732.0
AH2721,MOTOR DIESEL,277,19,1,1,8.2,13.6,15000,14022.0,978.0
AH2726,MOTOR DIESEL,178,11,1,2,9.0,14.8,15000,1268.0,13732.0
AH2725,MOTOR DIESEL,248,22,4,2,8.4,13.3,15000,7138.0,7862.0
AH2719,MOTOR DIESEL,162,10,1,1,9.2,14.1,15000,774.0,14226.0
AH2715,MOTOR DIESEL,277,21,5,1,8.4,14.5,15000,10113.0,4887.0
AH2714,MOTOR DIESEL,97,18,4,2,8.3,14.1,15000,7501.0,7499.0
AH2718,MOTOR DIESEL,51,7,2,1,9.3,14.7,15000,5974.0,9026.0
AH2714,MOTOR DIESEL,47,13,3,1,8.8,14.5,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,199,11,1,1,8.7,13.8,15000,14022.0,978.0
AH2729,MOTOR DIESEL,246,12,1,1,8.6,13.9,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,269,35,2,2,8.7,14.9,15000,1268.0,13732.0
