UNIT_ID,COMPONENT_LOCATION,HOURS_OIL,Fe (ppm),Cu (ppm),Si (ppm),TBN (mgKOH/g),V100C,BUDGET,HORAS_VIDA_ACTUAL,REMAINING_LIFE
AH2729,MOTOR DIESEL,233,13,3,10,8.2,14.5,15000,9160.0,5840.0
AH2714,MOTOR DIESEL,261,45,7,8,7.8,13.9,15000,7501.0,7499.0
AH2721,MOTOR DIESEL,260,18,2,1,7.6,14.1,15000,14022.0,978.0
AH2729,MOTOR DIESEL,167,12,3,18,8.6,14.3,15000,9160.0,5840.0
AH2726,MOTOR DIESEL,24,3,0,1,9.3,15.8,15000,1268.0,13732.0
AH2729,MOTOR DIESEL,134,7,2,7,8.8,14.5,15000,9160.0,5840.0
AH2719,MOTOR DIESEL,338,12,2,1,7.8,14.4,15000,774.0,14226.0
AH2718,MOTOR DIESEL,81,5,1,1,8.9,14.9,15000,5974.0,9026.0
AH2726,MOTOR DIESEL,222,10,2,4,8.4,15.3,15000,1268.0,13732.0
AH2715,MOTOR DIESEL,288,3,1,1,9.4,15.6,15000,10113.0,4887.0
